FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_INDEX,DEST_INDEX,O_TEMP,O_PRCP,O_WSPD,D_TEMP,D_PRCP,D_WSPD,O_LATITUDE,O_LONGITUDE,D_LATITUDE,D_LONGITUDE
2024-07-11 00:00:00,DL,1079.0,ATL,BDL,2024-07-11 19:53:00,2024-07-11 19:58:00,5.0,13.0,2024-07-11 20:11:00,2024-07-11 22:06:00,4.0,2024-07-11 22:15:00,2024-07-11 22:10:00,-5.0,142.0,132.0,115.0,1.0,7,11,4,20,26,32.2,0.0,11.2,30.6,0.0,14.8,33.64044,-84.42694,41.93887,-72.68323
2024-08-28 00:00:00,DL,928.0,SEA,ANC,2024-08-28 13:30:00,2024-08-28 13:24:00,-6.0,21.0,2024-08-28 13:45:00,2024-08-28 15:57:00,4.0,2024-08-28 16:12:00,2024-08-28 16:01:00,-11.0,222.0,217.0,192.0,1.0,8,28,3,277,17,10.6,0.0,5.4,10.6,0.3,5.4,47.44898,-122.30931,61.17432,-149.99619
2024-08-31 00:00:00,DL,1061.0,FAI,SEA,2024-08-31 15:15:00,2024-08-31 15:15:00,0.0,18.0,2024-08-31 15:33:00,2024-08-31 19:52:00,10.0,2024-08-31 20:00:00,2024-08-31 20:02:00,2.0,225.0,227.0,199.0,1.0,8,31,6,108,277,7.2,0.0,13.0,25.6,0.0,11.2,64.81368,-147.85967,47.44898,-122.30931
2024-09-20 00:00:00,WN,3430.0,LAS,RNO,2024-09-20 17:15:00,2024-09-20 19:21:00,126.0,29.0,2024-09-20 19:50:00,2024-09-20 20:45:00,4.0,2024-09-20 18:45:00,2024-09-20 20:49:00,124.0,90.0,88.0,55.0,1.0,9,20,5,174,261,27.8,0.0,7.6,23.3,0.0,5.4,36.08036,-115.15233,39.49858,-119.76806
2024-11-30 00:00:00,WN,3607.0,CVG,MCO,2024-11-30 14:45:00,2024-11-30 14:42:00,-3.0,12.0,2024-11-30 14:54:00,2024-11-30 16:34:00,7.0,2024-11-30 16:55:00,2024-11-30 16:41:00,-14.0,130.0,119.0,100.0,1.0,11,30,6,78,193,-3.9,0.0,16.6,17.8,0.0,13.0,39.04614,-84.66217,28.42889,-81.31603
2024-06-30 00:00:00,WN,1323.0,HOU,CMH,2024-06-30 17:20:00,2024-06-30 17:16:00,-4.0,11.0,2024-06-30 17:27:00,2024-06-30 20:51:00,5.0,2024-06-30 21:00:00,2024-06-30 20:56:00,-4.0,160.0,160.0,144.0,1.0,6,30,7,143,67,34.4,0.0,11.2,26.1,0.0,18.4,29.64542,-95.27889,39.99799,-82.89188
2024-12-18 00:00:00,MQ,4038.0,PNS,DFW,2024-12-18 11:29:00,2024-12-18 11:31:00,2.0,10.0,2024-12-18 11:41:00,2024-12-18 13:22:00,10.0,2024-12-18 13:39:00,2024-12-18 13:32:00,-7.0,130.0,121.0,101.0,1.0,12,18,3,245,86,16.7,0.0,0.0,10.0,0.0,22.3,30.47331,-87.18744,32.89595,-97.0372
2024-10-18 00:00:00,WN,4246.0,SNA,SJC,2024-10-18 08:15:00,2024-10-18 08:12:00,-3.0,10.0,2024-10-18 08:22:00,2024-10-18 09:25:00,2.0,2024-10-18 09:30:00,2024-10-18 09:27:00,-3.0,75.0,75.0,63.0,1.0,10,18,5,289,283,18.3,0.0,0.0,16.7,0.0,22.3,33.67566,-117.86822,37.36186,-121.92901
2024-09-21 00:00:00,WN,3482.0,DEN,PHL,2024-09-21 17:45:00,2024-09-21 17:48:00,3.0,11.0,2024-09-21 17:59:00,2024-09-21 22:53:00,7.0,2024-09-21 23:25:00,2024-09-21 23:00:00,-25.0,220.0,192.0,174.0,1.0,9,21,6,85,238,18.9,0.0,16.6,22.8,0.0,0.0,39.85841,-104.667,39.87195,-75.24114
2024-09-06 00:00:00,DL,2942.0,CHA,ATL,2024-09-06 05:35:00,2024-09-06 05:27:00,-8.0,12.0,2024-09-06 05:39:00,2024-09-06 06:02:00,9.0,2024-09-06 06:26:00,2024-09-06 06:11:00,-15.0,51.0,44.0,23.0,1.0,9,6,5,58,20,21.7,0.0,0.0,23.9,0.0,9.4,35.03527,-85.20379,33.64044,-84.42694
